# source: https://www.eff.org/files/2016/09/08/eff_short_wordlist_1.txt
# source-sha256: 8f5ca830b8bffb6fe39c9736c024a00a6a6411adb3f83a9be8bfeeb6e067ae69
# word	reason
acts	inflected_or_plural
aged	inflected_or_plural
aging	inflected_or_plural
agony	manual_safety_or_clarity
aids	inflected_or_plural
aim	too_short
alarm	manual_safety_or_clarity
anger	shared_first_four
armed	inflected_or_plural
arson	manual_safety_or_clarity
art	too_short
ashen	shared_first_four
ashes	inflected_or_plural
baked	shared_first_four
bash	manual_safety_or_clarity
bats	inflected_or_plural
blast	manual_safety_or_clarity
bok	too_short
boney	shared_first_four
booth	shared_first_four
boots	inflected_or_plural
brink	shared_first_four
brook	shared_first_four
bud	too_short
bully	manual_safety_or_clarity
bust	manual_safety_or_clarity
chain	shared_first_four
chaos	manual_safety_or_clarity
chase	manual_safety_or_clarity
cheek	shared_first_four
chest	shared_first_four
chill	shared_first_four
chump	manual_safety_or_clarity
civil	shared_first_four
clash	shared_first_four
clasp	shared_first_four
clear	shared_first_four
cleat	shared_first_four
clink	shared_first_four
cod	too_short
cot	too_short
crank	shared_first_four
crazy	manual_safety_or_clarity
crept	shared_first_four
cried	inflected_or_plural
crook	manual_safety_or_clarity
crowd	shared_first_four
crush	shared_first_four
cub	too_short
cult	manual_safety_or_clarity
curse	manual_safety_or_clarity
curvy	shared_first_four
cut	too_short
dab	too_short
dad	too_short
deaf	manual_safety_or_clarity
debt	manual_safety_or_clarity
decal	shared_first_four
decay	shared_first_four
decor	shared_first_four
dig	too_short
dizzy	manual_safety_or_clarity
dot	too_short
dried	inflected_or_plural
drown	manual_safety_or_clarity
dry	too_short
dug	too_short
duo	too_short
eaten	inflected_or_plural
eats	inflected_or_plural
ebay	manual_safety_or_clarity
eel	too_short
elf	too_short
elk	too_short
elm	too_short
elves	inflected_or_plural
emu	too_short
enter	manual_safety_or_clarity
error	manual_safety_or_clarity
evil	manual_safety_or_clarity
exit	manual_safety_or_clarity
false	manual_safety_or_clarity
fax	too_short
fetal	manual_safety_or_clarity
fifth	shared_first_four
filth	manual_safety_or_clarity
fit	too_short
fling	shared_first_four
flirt	manual_safety_or_clarity
foe	too_short
fog	too_short
fool	manual_safety_or_clarity
fox	too_short
frail	manual_safety_or_clarity
gag	too_short
gains	inflected_or_plural
gap	too_short
gas	too_short
gem	too_short
gig	too_short
gills	inflected_or_plural
given	shared_first_four
gore	manual_safety_or_clarity
graph	shared_first_four
grasp	shared_first_four
grave	shared_first_four
greet	shared_first_four
grief	manual_safety_or_clarity
grope	manual_safety_or_clarity
grunt	manual_safety_or_clarity
gut	too_short
guy	too_short
harm	manual_safety_or_clarity
hate	manual_safety_or_clarity
herbs	inflected_or_plural
hub	too_short
hug	too_short
hurt	manual_safety_or_clarity
hut	too_short
